"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,119,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"LM"
1,1,1,4,"true","false",1024,4,2.38714976907871e-10,114,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"LM"
2,2,1,2,"true","false",1024,4,1.60303866149281e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,114,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
2,2,1,2,"true","true",1024,4,1.61042728080753e-10,119,"LM"
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,119,"LM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,119,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,119,"LM"
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,119,"LM"
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,119,"LM"
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,119,"LM"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,119,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"LM"
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,119,"LM"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,114,"LM"
